Nums:65,,,
0,460,5980,4050
89,513,5351,3647
91,514,5337,3638
189,583,4730,3207
190,584,4724,3203
191,585,4718,3198
289,671,4149,2807
290,672,4143,2803
291,673,4138,2799
370,759,3706,2484
371,760,3700,2480
478,907,3146,2094
479,908,3140,2090
578,1089,2665,1754
579,1090,2660,1750
678,1333,2205,1444
679,1335,2200,1440
762,1609,1847,1303
763,1612,1843,1301
764,1616,1839,1299
842,1954,1542,996
843,1958,1538,992
844,1963,1535,989
882,2166,1396,896
883,2171,1392,894
884,2177,1389,891
922,2407,1262,808
923,2413,1258,806
924,2420,1255,803
962,2686,1134,725
963,2693,1130,722
997,2963,1033,658
998,2970,1030,656
1029,3246,943,602
1030,3254,940,600
1054,3489,879,562
1055,3498,876,560
1085,3821,804,513
1086,3832,802,511
1087,3844,799,510
1110,4122,748,475
1111,4134,746,473
1112,4147,743,472
1142,4565,677,430
1143,4578,674,428
1177,5158,599,380
1178,5175,596,378
1202,5695,544,345
1203,5717,542,343
1204,5742,539,342
1227,6397,484,307
1228,6425,482,305
1229,6459,479,304
1245,7070,439,278
1246,7108,437,276
1262,7944,391,248
1263,7996,388,246
1264,8061,385,244
1277,9059,343,218
1278,9136,340,216
1279,9246,336,213
1296,11685,268,169
1297,11829,264,167
1298,12052,258,164
1302,13260,234,148
